,title,track_artist,album,labels,release_year,instruments,genre,format,countries_of_release,catalog_numbers,requires_manual_check,duration
404,Push Me Away,The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Arranged By [Rhythm Arrangement], Keyboards",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,4:19
405,Things I Do For You,The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Arranged By [Rhythm Arrangement], Keyboards",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,4:06
406,Shake Your Body (Down To The Ground),The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Synthesizer",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,8:01
407,Bless His Soul,The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Arranged By [Rhythm Arrangement], Keyboards",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,4:57
408,All Night Dancin',The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Arranged By [Rhythm Arrangement], Keyboards",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,6:10
409,That's What You Get (For Being Polite),The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Arranged By [Rhythm Arrangement], Keyboards, Synthesizer",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,4:59
410,Blame It On The Boogie (John Luongo Disco Mix),The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010",Producer [Associate],Funk / Soul,"CD, Box Set","US, Europe","88697743812, 88697433202",True,7:01
411,Shake Your Body (Down To The Ground) (John Luongo Disco Mix),The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010",Producer [Associate],Funk / Soul,"CD, Box Set","US, Europe","88697743812, 88697433202",True,8:38
412,Triumph,The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1983",Producer [Associate],Funk / Soul,"CD, Cassette, Box Set","Australia, US, Europe","88697743812, 241055C, 88697433202",True,
413,Can You Feel It,The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Keyboards",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,5:58
414,Lovely One,The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Keyboards",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,4:51
415,Your Ways,The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Keyboards",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,4:32
416,Everybody,The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Keyboards",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,5:00
417,This Place Hotel (A/K/A Heartbreak Hotel),The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1983","Producer [Associate], Keyboards",Funk / Soul,"CD, Cassette, Box Set","Australia, US, Europe","88697743812, 241055C, 88697433202",True,5:44
418,Time Waits For No One,The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Keyboards",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,3:24
419,Walk Right Now,The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Synthesizer",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,6:29
420,Give It Up,The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Keyboards",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,4:21
421,Wondering Who,The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010, 1990, 1983","Producer [Associate], Keyboards",Funk / Soul,"Vinyl, CD, Cassette, Box Set","Australia, US, Brazil, Europe","278.005-6/1-465654, 88697433202, 88697743812, 241055C, 241055",True,4:19
422,This Place Hotel (A/K/A Heartbreak Hotel) (Single Version),The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010",Producer [Associate],Funk / Soul,"CD, Box Set","US, Europe","88697743812, 88697433202",True,4:54
423,Walk Right Now (John Luongo Disco Mix),The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010",Producer [Associate],Funk / Soul,"CD, Box Set","US, Europe","88697743812, 88697433202",True,7:37
424,Walk Right Now (John Luongo Instrumental Mix),The Jacksons,Destiny / Triumph,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy","2009, 2010",Producer [Associate],Funk / Soul,"CD, Box Set","US, Europe","88697743812, 88697433202",True,6:58
425,Heartbreak Hotel,The Jacksons,Destiny / Triumph,Epic,"1990, 1983",,"Pop, Funk / Soul, Electronic",Vinyl,"Australia, Brazil","278.005-6/1-465654, 241055",False,5:44
426,You Gotta Be,The Jacksons,Sound Advice,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy",2010,Producer [Associate],Funk / Soul,"CD, Box Set",Europe,88697743812,True,4:58
427,By The Grace Of God,The Jacksons,Sound Advice,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy",2010,Producer [Associate],Funk / Soul,"CD, Box Set",Europe,88697743812,True,3:35
428,Round And Round,The Jacksons,Sound Advice,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy",2010,"Written-By, Producer [Associate]",Funk / Soul,"CD, Box Set",Europe,88697743812,True,4:30
429,You Can't Always Get What You Want,The Jacksons,Sound Advice,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy",2010,"Producer [Associate], Producer",Funk / Soul,"CD, Box Set",Europe,88697743812,True,7:10
430,Let 'Em In,The Jacksons,Sound Advice,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy",2010,"Producer [Associate], Producer",Funk / Soul,"CD, Box Set",Europe,88697743812,True,4:41
431,Gotta Serve Somebody,The Jacksons,Sound Advice,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy",2010,"Producer [Associate], Producer",Funk / Soul,"CD, Box Set",Europe,88697743812,True,8:11
432,Vincent,The Jacksons,Sound Advice,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy",2010,Producer [Associate],Funk / Soul,"CD, Box Set",Europe,88697743812,True,6:30
433,A Little Bit Of Love,The Jacksons,Sound Advice,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy",2010,"Producer [Associate], Producer",Funk / Soul,"CD, Box Set",Europe,88697743812,True,4:37
434,Lean On Me,The Jacksons,Sound Advice,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy",2010,"Producer [Associate], Producer",Funk / Soul,"CD, Box Set",Europe,88697743812,True,6:42
435,Give It Up,The Jacksons,Sound Advice,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy",2010,"Producer [Associate], Producer",Funk / Soul,"CD, Box Set",Europe,88697743812,True,4:28
436,My Way,The Jacksons,Sound Advice,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy",2010,Producer [Associate],Funk / Soul,"CD, Box Set",Europe,88697743812,True,5:15
437,Enjoy The Silence,The Jacksons,Sound Advice,"Sony Music, Sony BMG Music Entertainment, Epic, Legacy",2010,"Producer [Associate], Producer",Funk / Soul,"CD, Box Set",Europe,88697743812,True,4:45
438,This Place Hotel,Michael Jackson,Scream,"Sony Music, MJJ Productions, Epic, Legacy",2017,Producer,"Rock, Funk / Soul, Pop","Vinyl, CD, CDr","Australia, US, Malaysia, Taiwan, Mexico, UK & Europe, Canada, Japan","SDCI-82250, SICP 5700, 889854806125, 88985480231, 88985480612",False,5:44
439,Thriller,Michael Jackson,Scream,"Sony Music, Legacy, MJJ Productions, Epic, Warner Music Russia",2017,Synthesizer,"Rock, Funk / Soul, Pop","Vinyl, CD, File, CDr",", US, Australia, Malaysia, Russia, Argentina, Taiwan, Mexico, UK & Europe, Canada, Japan, South Korea, Brazil","SDCI-82250, SICP 5700, 8898548061-2, 889854806125, 19075811232, none, S40633C / 88985480612, 12776332, 88985480231, 88985480612",False,5:58
440,Leave Me Alone,Michael Jackson,Scream,"Sony Music, Legacy, MJJ Productions, Epic, Warner Music Russia",2017,Synthesizer,"Rock, Funk / Soul, Pop","Vinyl, CD, CDr","Argentina, US, Australia, Malaysia, Russia, Taiwan, Mexico, UK & Europe, Canada, Japan, South Korea, Brazil","SDCI-82250, SICP 5700, 8898548061-2, 889854806125, 19075811232, S40633C / 88985480612, 12776332, 88985480231, 88985480612",False,4:40
441,Lovely One,The Jacksons,Lovely One,Epic,1980,"Co-producer [Associate], Co-producer [Uncredited]","Funk / Soul, Pop",Vinyl,"US, Australia, New Zealand, Canada, Ireland, Netherlands, UK, Brazil, Europe","ES 522, 46.016, 12.9053, S EPC 9302, EPC 9053, XPS 109, EPC 12.9053, 9-50938, 9053, 46016",False,3:45
442,Stand Up For Love,Neil Diamond,Headed For The Future,"CBS/Sony, Discos CBS, CBS, Columbia","0, 1986","Words By, Music By, Arranged By, Synthesizer, Backing Vocals, Producer, Words By, Music By",Rock,"Vinyl, CD, Cassette","US, Australia, Greece, Germany, Venezuela, Spain, Mexico, Portugal, Canada, South Africa, German Democratic Republic (GDR), UK, Japan, Brazil, Europe","CK 40368, C 40368, COL 489453 2, 138.676, 32DP 445, CBS 26952, CBSCL161992, CBS 40 26952, 28AP 3195, CDCBS 26952, SBP 8169, OCT 40368, OCT-40368, ASF 3111, PC8169, 26952, OC 40368, S 26952, 40-26952, 489453 2, CS-10.537, CLS-5858, CL 13 419 7, 724 691-2",False,2:46
443,Angel,Neil Diamond,Headed For The Future,"Discos CBS, Columbia, CBS/Sony, CBS, JDC Records","0, 1986, 2014","Arranged By, Keyboards, Synthesizer, Co-producer, Keyboards, Synthesizer, Co-producer",Rock,"Vinyl, CD, Cassette","US, Australia, Greece, Germany, Venezuela, Spain, Mexico, Portugal, Canada, South Africa, German Democratic Republic (GDR), UK, Japan, Brazil, Europe","CK 40368, C 40368, COL 489453 2, 138.676, 32DP 445, 38-05889, CBS 26952, CBSCL161992, CBS 40 26952, 28AP 3195, CDCBS 26952, SBP 8169, BA 3437, CBSA 7098, OCT 40368, OCT-40368, ASF 3111, PC8169, 26952, OC 40368, S 26952, A 7098, 40-26952, 489453 2, CS-10.537, CLS-5858, CL 13 419 7, 724 691-2",False,4:00
444,Love Doesn't Live Here Anymore,Neil Diamond,Headed For The Future,"Discos CBS, Columbia, CBS/Sony, CBS, JDC Records","0, 1986, 2014","Arranged By, Keyboards, Synthesizer, Co-producer, Keyboards, Synthesizer",Rock,"Vinyl, CD, Cassette","US, Australia, Greece, Germany, Venezuela, Spain, Mexico, Portugal, Canada, South Africa, German Democratic Republic (GDR), UK, Japan, Brazil, Europe","CK 40368, C 40368, COL 489453 2, 138.676, 32DP 445, CBS 26952, CBSCL161992, CBS 40 26952, 28AP 3195, CDCBS 26952, SBP 8169, OCT 40368, OCT-40368, ASF 3111, PC8169, 26952, OC 40368, S 26952, 40-26952, 489453 2, CS-10.537, CLS-5858, CL 13 419 7, 724 691-2",False,4:26
445,Steppin' (Out),The Gap Band,The Gap Band II,Mercury,"0, 1993, 2009, 1979, 1980, 2014","Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,"Vinyl, 8-Track Cartridge, CD, Cassette","US, Germany, Spain, South Africa, Ireland, UK, Japan, Netherlands","9111 062 04, 9111 062, STAR 5109, UICY-91333, RJ-7658, 9110 136, 824 142-4 FL04, MCR4-1-3804, 7142 713, 824 142-4, 9110.136, UICY-76626, 9111062, SRM-1-3804, 91 11 062, MC8-1-3804, 9110•136, 824 142-4 M-1, 824 142-2",True,4:33
446,No Hiding Place,The Gap Band,The Gap Band II,"Mercury, 747","0, 1993, 2009, 1979, 1980, 2014","Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,"Vinyl, 8-Track Cartridge, CD, Cassette","US, Germany, Spain, Saudi Arabia, South Africa, Ireland, UK, Japan, Netherlands","9111 062 04, 9111 062, STAR 5109, UICY-91333, RJ-7658, 9110 136, 824 142-4 FL04, MCR4-1-3804, 7142 713, 824 142-4, 4536, 9110.136, UICY-76626, 9111062, SRM-1-3804, 91 11 062, MC8-1-3804, 9110•136, 824 142-4 M-1, 824 142-2",True,5:34
447,I Don't Believe You Want To Get Up And Dance (Oops!),The Gap Band,The Gap Band II,Mercury,"0, 1993, 2009, 1979, 1980, 2014","Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,"Vinyl, CD, Cassette","US, Germany, Spain, South Africa, Ireland, UK, Japan, Netherlands","9111 062 04, 91 11 062, 9110 136, 9111 062, STAR 5109, 9110.136, UICY-76626, 7142 713, 9110•136, 9111062, UICY-91333, RJ-7658, 824 142-2, SRM-1-3804",True,8:31
448,Who Do You Call,The Gap Band,The Gap Band II,"Mercury, 747","0, 1993, 2009, 1979, 1980, 2014","Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,"Vinyl, CD, Cassette","US, Germany, Spain, Saudi Arabia, South Africa, Ireland, UK, Japan, Netherlands","9111 062 04, 9111 062, STAR 5109, UICY-91333, RJ-7658, 9110 136, 824 142-4 FL04, MCR4-1-3804, 7142 713, 824 142-4, 4536, 9110.136, UICY-76626, 9111062, SRM-1-3804, 91 11 062, 9110•136, 824 142-4 M-1, 824 142-2",True,4:56
449,You Are My High,The Gap Band,The Gap Band II,"Mercury, 747","0, 1993, 2009, 1979, 1980, 2014","Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,"Vinyl, 8-Track Cartridge, CD, Cassette","US, Germany, Spain, Saudi Arabia, South Africa, Ireland, UK, Japan, Netherlands","9111 062 04, 9111 062, STAR 5109, UICY-91333, RJ-7658, 9110 136, 824 142-4 FL04, MCR4-1-3804, 7142 713, 824 142-4, 4536, 9110.136, UICY-76626, 9111062, SRM-1-3804, 91 11 062, MC8-1-3804, 9110•136, 824 142-4 M-1, 824 142-2",True,5:38
450,Party Lights,The Gap Band,The Gap Band II,"Mercury, 747","0, 1993, 2009, 1979, 1980, 2014","Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,"Vinyl, 8-Track Cartridge, CD, Cassette","US, Germany, Spain, Saudi Arabia, South Africa, Ireland, UK, Japan, Netherlands","9111 062 04, 9111 062, STAR 5109, UICY-91333, RJ-7658, 9110 136, 824 142-4 FL04, MCR4-1-3804, 7142 713, 824 142-4, 4536, 9110.136, UICY-76626, 9111062, SRM-1-3804, 91 11 062, MC8-1-3804, 9110•136, 824 142-4 M-1, 824 142-2",True,3:44
451,The Boys Are Back In Town,The Gap Band,The Gap Band II,"Mercury, 747","0, 1993, 2009, 1979, 1980, 2014","Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,"Vinyl, 8-Track Cartridge, CD, Cassette","US, Germany, Spain, Saudi Arabia, South Africa, Ireland, UK, Japan, Netherlands","9111 062 04, 9111 062, STAR 5109, UICY-91333, RJ-7658, 9110 136, 824 142-4 FL04, MCR4-1-3804, 7142 713, 824 142-4, 4536, 9110.136, UICY-76626, 9111062, SRM-1-3804, 91 11 062, MC8-1-3804, 9110•136, 824 142-4 M-1, 824 142-2",True,5:43
452,I Don't Believe You Want To Get Up And Dance (Oops),The Gap Band,The Gap Band II,Mercury,"0, 1979",,Funk / Soul,"8-Track Cartridge, Cassette",US,"824 142-4 FL04, MC8-1-3804, MCR4-1-3804, 824 142-4 M-1, 824 142-4",False,
453,Who Do You Call (Pt. 1),The Gap Band,The Gap Band II,Mercury,1979,,Funk / Soul,8-Track Cartridge,US,MC8-1-3804,False,
454,Who Do You Call (Pt. 2),The Gap Band,The Gap Band II,Mercury,1979,,Funk / Soul,8-Track Cartridge,US,MC8-1-3804,False,
455,I Don't Believe You Want To Get Up And Dance,The Gap Band,The Gap Band II,747,1980,,Funk / Soul,Cassette,Saudi Arabia,4536,False,
456,Steppin',The Gap Band,The Gap Band II,747,1980,,Funk / Soul,Cassette,Saudi Arabia,4536,False,
457,Pisando (Hacia Afuera) = Steppin' (Out),The Gap Band,The Gap Band II,Mercury,1980,"Keyboards, Percussion, Synthesizer [Mixing]",Funk / Soul,Vinyl,Argentina,9111062,True,4:33
458,Ningun Escondite = No Hiding Place,The Gap Band,The Gap Band II,Mercury,1980,"Keyboards, Percussion, Synthesizer [Mixing]",Funk / Soul,Vinyl,Argentina,9111062,True,5:34
459,No Creo Que Quieras Salir A Bailar (Oops)= I Don't Believe You Want To Get Up And Dance (Oops!),The Gap Band,The Gap Band II,Mercury,1980,"Keyboards, Percussion, Synthesizer [Mixing]",Funk / Soul,Vinyl,Argentina,9111062,True,8:31
460,A Quien Llamas = Who Do You Call,The Gap Band,The Gap Band II,Mercury,1980,"Keyboards, Percussion, Synthesizer [Mixing]",Funk / Soul,Vinyl,Argentina,9111062,True,4:56
461,Eres Mi Locura = You Are My High,The Gap Band,The Gap Band II,Mercury,1980,"Keyboards, Percussion, Synthesizer [Mixing]",Funk / Soul,Vinyl,Argentina,9111062,True,5:38
462,Luces De Fiesta = Party Lights,The Gap Band,The Gap Band II,Mercury,1980,"Keyboards, Percussion, Synthesizer [Mixing]",Funk / Soul,Vinyl,Argentina,9111062,True,3:54
463,TLos Chicos Estan De Recreso En La Ciudad = he Boys Are Back In Town,The Gap Band,The Gap Band II,Mercury,1980,"Keyboards, Percussion, Synthesizer [Mixing]",Funk / Soul,Vinyl,Argentina,9111062,True,5:43
464,The Gap Band:,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,
465,Shake,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:01
466,You Can Count On Me,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:00
467,Open Up Your Mind (Wide),The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,7:07
468,Messin' With My Mind,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,4:00
469,Baby Baba Boogie,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,6:49
470,I'm In Love,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:27
471,Got To Get Away,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,3:49
472,I Can Sing,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:22
473,The Gap Band II:,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,
474,Steppin' (Out),The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,4:28
475,No Hiding Place,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:37
476,I Don't Believe You Want To Get Up And Dance (oops !),The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,8:42
477,The Gap Band II (Continued):,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,
478,Who Do You Call,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:01
479,You Are My High,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:40
480,Party Lights,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,3:48
481,The Boys Are Back In Town,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:47
482,The Gap Band III:,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,
483,When I Look In Your Eyes,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:02
484,Yearning For Your Love,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:43
485,Burn Rubber On Me (Why You Wanna Hurt Me),The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:33
486,Nothin' Comes To Sleepers,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:36
487,Are You Living,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,4:25
488,Sweet Caroline,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,3:20
489,Humpin',The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:14
490,The Way,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,4:49
491,Gash Gash Gash,The Gap Band,The Gap Band / The Gap Band II / The Gap Band III,Mercury,1979,"Keyboards, Percussion, Mixed By [Synthesizer]",Funk / Soul,Vinyl,Germany,9111 062,True,5:20
492,K.Y. And The Curb,Harvey Mason,Earthmover,"Arista, Rock (2), BMG, Soul Music.com Records","1976, 2016, 2011, 2000",Electric Piano,"Funk / Soul, Jazz","Vinyl, CD","US, Italy, UK, Japan, Turkey","SMCR 5024, 74321-74948-2, 7773, 3C 064-98803, 15RS-17, BVCJ-37112, SICJ 183, AL 4096, IES-80734",False,4:56
493,Sho Nuff Groove,Harvey Mason,Earthmover,"Arista, Rock (2), BMG, Soul Music.com Records","1976, 2016, 2011, 2000","Piano [Acoustic], Electric Piano","Funk / Soul, Jazz","Vinyl, CD","US, Italy, UK, Japan, Turkey","SMCR 5024, 74321-74948-2, 7773, 3C 064-98803, 15RS-17, BVCJ-37112, SICJ 183, AL 4096, IES-80734",False,3:56
494,The Mase,Harvey Mason,Earthmover,"Arista, Rock (2), BMG, Soul Music.com Records","1976, 2016, 2011, 2000",Electric Piano,"Funk / Soul, Jazz","Vinyl, CD","US, Italy, UK, Japan, Turkey","SMCR 5024, 74321-74948-2, 7773, 3C 064-98803, 15RS-17, BVCJ-37112, SICJ 183, AL 4096, IES-80734",False,4:10
495,Sweet Mercy,Harvey Mason,Earthmover,"Arista, Rock (2), BMG, Soul Music.com Records","1976, 2016, 2011, 2000",Electric Piano,"Funk / Soul, Jazz","Vinyl, CD","US, Italy, UK, Japan, Turkey","SMCR 5024, 74321-74948-2, 7773, 3C 064-98803, 15RS-17, BVCJ-37112, SICJ 183, AL 4096, IES-80734",False,5:49
496,When I'm With You (Live Version),Harvey Mason,Earthmover,"Arista, Rock (2), BMG, Soul Music.com Records","1976, 2016, 2011, 2000",Electric Piano,"Funk / Soul, Jazz","Vinyl, CD","US, Italy, UK, Japan, Turkey","SMCR 5024, 74321-74948-2, 7773, 3C 064-98803, 15RS-17, BVCJ-37112, SICJ 183, AL 4096, IES-80734",False,4:25
497,K.Y. And The Curb (Stereo),Harvey Mason,K.Y. And The Curb,Arista,1976,Electric Piano,"Funk / Soul, Jazz",Vinyl,US,AS 0222,False,2:58
498,K.Y. And The Curb (Mono),Harvey Mason,K.Y. And The Curb,Arista,1976,Electric Piano,"Funk / Soul, Jazz",Vinyl,US,AS 0222,False,2:58
499,K.Y. And The Curb,Harvey Mason,K.Y. And The Curb,Arista,1976,,Funk / Soul,Vinyl,US,AS 0222,False,2:58
500,When I'm With You (Live Version),Harvey Mason,K.Y. And The Curb,Arista,1976,,"Funk / Soul, Jazz",Vinyl,"US, Canada",AS 0222,False,4:25
