,title,track_artist,album,labels,release_year,instruments,genre,format,countries_of_release,catalog_numbers,requires_manual_check,duration
211,Torture,The Jacksons,The Very Best Of The Jacksons,"Sony Music TV, Sony Music Strategic Marketing, Epic, Universal, Sony, Universal Music TV",2004,Producer,"Pop, Funk / Soul, Electronic",CD,"Argentina, US, Australia, France, Mexico, South Africa, Austria, UK, Japan, Brazil, Europe","CDEPC6830, 2 516366, 5163662007, 5163669000, none, 5163662000, UICY-1269/70, 5163662003, 516366 9, EPC 516366 2, 516366 6, 2-516336, 5163662000/2, 2-516366, 5163662000/1, 5163669, 516366 2",True,4:31
212,Shake Your Body (Down To The Ground),The Jacksons,The Very Best Of The Jacksons,"Sony Music TV, Sony Music Strategic Marketing, Epic, Universal, Sony, Universal Music TV",2004,Producer,"Pop, Funk / Soul, Electronic",CD,"Argentina, US, Australia, France, Mexico, South Africa, Austria, UK, Japan, Brazil, Europe","CDEPC6830, 2 516366, 5163662007, 5163669000, none, 5163662000, UICY-1269/70, 5163662003, 516366 9, EPC 516366 2, 516366 6, 2-516336, 5163662000/2, 2-516366, 5163662000/1, 5163669, 516366 2",True,3:46
213,Lovely One,The Jacksons,The Very Best Of The Jacksons,"Sony Music TV, Sony Music Strategic Marketing, Epic, Universal, Sony, Universal Music TV",2004,Producer,"Pop, Funk / Soul, Electronic",CD,"Argentina, US, Australia, France, Mexico, South Africa, Austria, UK, Japan, Brazil, Europe","CDEPC6830, 2 516366, 5163662007, 5163669000, none, 5163662000, UICY-1269/70, 5163662003, 516366 9, EPC 516366 2, 516366 6, 2-516336, 5163662000/2, 2-516366, 5163662000/1, 5163669, 516366 2",True,4:52
214,This Place Hotel,The Jacksons,The Very Best Of The Jacksons,"Sony, Epic, Universal, Sony Music Strategic Marketing",2004,Producer,"Pop, Funk / Soul, Electronic",CD,"Argentina, US, France, Mexico, South Africa, Austria, UK, Japan, Brazil, Europe","CDEPC6830, 2 516366, 5163662007, 5163669000, 5163662000, UICY-1269/70, 5163662003, EPC 516366 2, 516366 9, 516366 6, 2-516336, 5163662000/2, 2-516366, 5163662000/1, 516366 2",True,4:49
215,Walk Right Now,The Jacksons,The Very Best Of The Jacksons,"Sony Music TV, Sony Music Strategic Marketing, Epic, Universal, Sony, Universal Music TV",2004,Producer,"Pop, Funk / Soul, Electronic",CD,"Argentina, US, Australia, France, Mexico, South Africa, Austria, UK, Japan, Brazil, Europe","CDEPC6830, 2 516366, 5163662007, 5163669000, none, 5163662000, UICY-1269/70, 5163662003, 516366 9, EPC 516366 2, 516366 6, 2-516336, 5163662000/2, 2-516366, 5163662000/1, 5163669, 516366 2",True,3:33
216,State Of Shock,The Jacksons,The Very Best Of The Jacksons,"Sony Music TV, Sony Music Strategic Marketing, Epic, Universal, Sony, Universal Music TV",2004,Producer,"Pop, Funk / Soul, Electronic",CD,"Argentina, US, Australia, France, Mexico, South Africa, Austria, UK, Japan, Brazil, Europe","CDEPC6830, 2 516366, 5163662007, 5163669000, none, 5163662000, UICY-1269/70, 5163662003, 516366 9, EPC 516366 2, 516366 6, 2-516336, 5163662000/2, 2-516366, 5163662000/1, 5163669, 516366 2",True,4:30
217,2300 Jackson Street,The Jacksons,The Very Best Of The Jacksons,"Sony Music TV, Sony Music Strategic Marketing, Epic, Universal, Sony, Universal Music TV",2004,Producer,"Pop, Funk / Soul, Electronic",CD,"Argentina, US, Australia, France, Mexico, South Africa, Austria, UK, Japan, Brazil, Europe","CDEPC6830, 2 516366, 5163662007, 5163669000, none, 5163662000, UICY-1269/70, 5163662003, 516366 9, EPC 516366 2, 516366 6, 2-516336, 5163662000/2, 2-516366, 5163662000/1, 5163669, 516366 2",True,5:06
218,Nothin' (That Compares 2 U),The Jacksons,The Very Best Of The Jacksons,"Sony Music TV, Sony Music Strategic Marketing, Epic, Universal, Sony, Universal Music TV",2004,Producer,"Pop, Funk / Soul, Electronic",CD,"Argentina, US, Australia, France, Mexico, South Africa, Austria, UK, Japan, Brazil, Europe","CDEPC6830, 2 516366, 5163662007, 5163669000, none, 5163662000, UICY-1269/70, 5163662003, 516366 9, EPC 516366 2, 516366 6, 2-516336, 5163662000/2, 2-516366, 5163662000/1, 5163669, 516366 2",True,4:14
219,Don't Stop 'Til You Get Enough (Live From The 1981 U.S. Tour),The Jacksons,The Very Best Of The Jacksons,"Sony Music TV, Sony Music Strategic Marketing, Epic, Universal, Sony, Universal Music TV",2004,Producer,"Pop, Funk / Soul, Electronic",CD,"Argentina, US, Australia, France, Mexico, South Africa, Austria, UK, Japan, Brazil, Europe","CDEPC6830, 2 516366, 5163662007, 5163669000, none, 5163662000, UICY-1269/70, 5163662003, 516366 9, EPC 516366 2, 516366 6, 2-516336, 5163662000/2, 2-516366, 5163662000/1, 5163669, 516366 2",True,4:45
220,This Place Hotel (AKA Heartbreak Hotel),The Jacksons,The Very Best Of The Jacksons,"Epic, Universal, Universal Music TV",2004,Producer,"Pop, Funk / Soul, Electronic",CD,"UK, Australia","5163669000, 5163662000, 5163669",False,4:49
